# first,last,id,gender,joindate,latitude,longitude,city,state,country,checkin count
WILLIAM,FARRINGTON,72609,M,2010-09-28,28.0068,-82.556,Tampa,Florida,US,16
ELSIE,ELLIS,73104,F,2009-10-30,28.5419,-81.3791,Orlando,Florida,US,13
CANDACE,WINDHAM,73192,F,10/16/11,,,,,,
RHONDA,LESTER,73193,F,1/18/09,,,,,,
FREDRICK,CEJA,73195,M,2010-06-27,-26.1,28.0667,Strathavon,,ZA,50
LAURIE,LITHERLAND,74761,F,2010-03-15,30.4254,-97.7195,Austin,Texas,US,34
GEORGIA,WHITEHEAD,75968,F,3/23/11,,,,,,
WHITNEY,HANSLEY,77061,F,4/25/10,,,,,,
CHRISTOPHER,VANCLEAVE,77180,M,2010-08-12,53.4809,-2.2374,Manchester,England,GB,6
MARVIN,KOEHN,77202,M,8/24/09,,,,,,
MARJORIE,HOGG,78318,F,5/21/11,,,,,,
WILLIAM,PALMER,79598,M,8/23/10,,,,,,
DORIS,TURNIPSEED,80936,F,2010-08-20,40.9176,-74.5467,Dover,New Jersey,US,100
MARLENE,IRVINE,80937,F,2010-01-18,47.6786,-122.1894,Kirkland,Washington,US,80
OLGA,SOUTHERN,80938,F,2009-12-30,47.6786,-122.1894,Kirkland,Washington,US,100
SAM,LOEB,80939,M,2/9/10,,,,,,
MICHAEL,NEWPORT,80940,M,9/4/10,,,,,,
CLAUDINE,ARAIZA,80941,F,11/17/11,,,,,,
ANTHONY,CUDDY,80942,M,1/19/10,,,,,,
PATRICIA,LAURSEN,83482,F,3/30/10,,,,,,
KAREN,WALL,83653,F,2010-03-24,48.4266,-123.3444,Oak Bay North,British Columbia,CA,82
BETTY,STANFORD,83867,F,1/19/09,,,,,,
GLADYS,WHITE,83872,F,2009-11-21,28.5559,-81.3535,Orlando,Florida,US,26
CORRINNE,BUI,85046,F,9/1/09,,,,,,
JESSE,REED,87915,M,4/1/09,,,,,,
PHILLIP,COLE,88361,M,7/4/09,,,,,,
CATRINA,JONES,88363,F,4/13/11,,,,,,
WANDA,WEISS,88927,F,2010-10-09,55.6059,13.0007,Malmö,,SE,25
CORY,MORELAND,89257,M,2010-07-07,38.2674,-85.6237,Louisville,Kentucky,US,16
MICHAEL,MORALES,89258,M,2010-01-25,35.3183,-80.7476,Charlotte,North Carolina,US,50
DEBORAH,KEITH,89259,F,2010-03-13,30.2428,-97.7658,Austin,Texas,US,25
AMBER,RODRIQUEZ,89688,F,2010-07-12,59.6352,17.9125,Stockholm-Arlanda,,SE,25
ADAM,KAISER,90366,M,2010-06-08,63.8284,20.2597,Umeå,Västerbotten,SE,19
JASON,DAVIS,90582,M,2010-08-14,30.3162,-97.8588,Austin,Texas,US,16
HARRY,VINCENT,91572,M,2010-05-01,28.5978,-81.3534,Winter Park,Florida,US,25
DONNA,GRAY,92592,F,6/16/10,,,,,,
DEBORA,ROACH,92593,F,1/25/10,,,,,,
STEVEN,MARTIN,92594,M,4/30/09,,,,,,
MAX,HORTON,92596,M,9/13/10,,,,,,
LORNA,MAYNE,92597,F,7/30/10,,,,,,
JULIE,WILLARD,97971,F,8/1/11,,,,,,
SHARON,MERRILL,97972,F,2010-09-03,59.3333,18.05,Johanneshov,,SE,43
RANDALL,RAYMOND,97973,M,2010-10-05,63.8284,20.2597,Umeå,Västerbotten,SE,50
ADRIANE,STANFIELD,97974,F,2009-12-19,59.3613,17.9711,Sundbyberg,Stockholm,SE,52
ROLAND,LEARY,97975,M,3/26/09,,,,,,
RUSSELL,CASTRO,98074,M,6/9/11,,,,,,
MARY,ALLEN,98440,F,7/12/10,,,,,,
WILLIAM,CASTANEDA,98688,M,7/1/11,,,,,,
BRETT,GARDNER,98689,M,3/6/11,,,,,,
FLOYD,WALSTON,98690,M,11/29/09,,,,,,
LAURA,OUELLETTE,98691,F,2010-04-23,-33.9833,18.5,Crawford,,ZA,81
SCOTT,WATERS,98692,M,1/29/11,,,,,,
DONALD,HAISLIP,98693,M,2010-09-26,-26.05,27.9667,Sandton,,ZA,85
ALEXANDRIA,PHILLIPS,101307,F,2010-01-22,-26.1167,28.0333,Bryanston,,ZA,50
KEVIN,DUFFEY,101888,M,2010-09-12,57.7072,11.9668,Göteborg,Västra Götaland,SE,4
KENDALL,ADAMS,102372,F,9/17/09,,,,,,
SHAWN,PALMER,102373,M,11/25/11,,,,,,
PETER,DUFFY,102374,M,2010-04-03,34.1005,-118.3254,Los Angeles,California,US,3
TIM,SANDERS,102375,M,2/28/09,,,,,,
JOANN,BUNKER,102376,F,8/20/11,,,,,,
DAVID,FRANKLIN,102377,M,6/11/10,,,,,,
MARGARITA,ALBERS,103496,F,2010-07-18,55.6059,13.0007,Malmö,,SE,56
CAROL,MYERS,103577,F,3/15/09,,,,,,
CHESTER,HOARD,103931,M,2010-06-25,63.8284,20.2597,Umeå,Västerbotten,SE,257
JAMES,COVINGTON,106956,M,2010-05-30,38.1551,-121.3086,Woodbridge,California,US,39
CARMEN,REEDY,106957,F,2009-12-29,28.3822,-81.569,Orlando,Florida,US,185
KIMBERLY,DEVITO,111727,F,2009-12-04,51.2167,4.4167,Antwerpen,Vlaanderen,BE,29
SHARON,FERNANDEZ,112003,F,2010-05-22,28.6625,-81.4117,Altamonte Springs,Florida,US,345
LILLIAN,WILLIAMS,112004,F,2010-03-22,28.6625,-81.4117,Altamonte Springs,Florida,US,1
JOE,SEAWELL,112009,M,2009-12-09,28.8846,-81.3065,Debary,Florida,US,4
NAOMI,NEWLON,112880,F,2010-04-03,-25.0333,31.1167,Hazyview,,ZA,2
JULIE,ALVAREZ,115662,F,2010-01-17,56.1531,10.1057,Risskov Ø,,DK,3
JASON,COLEMAN,115778,M,2010-02-03,28.1384,-80.6524,Melbourne,Florida,US,184
WILLIAM,CALES,117861,M,2010-02-20,28.5419,-81.3791,Orlando,Florida,US,13
LEE,CHEEK,120376,M,7/3/10,,,,,,
HUGH,GARNEAU,120896,M,2010-08-24,40.021,-82.8079,Blacklick,Ohio,US,1
EDWIN,WOODS,121768,M,2009-12-26,39.9523,-83.078,Columbus,Ohio,US,5
KEITH,THOMAS,122703,M,2010-03-14,41.1523,-96.0371,Papillion,Nebraska,US,85
MATTHEW,MCDONALD,122704,M,2010-05-27,39.7656,-104.7069,Aurora,Colorado,US,32
STEPHEN,CARTER,129755,M,2010-06-05,51.2,4.4333,Antwerpen Berchem,Vlaanderen,BE,106
DAWN,MILLER,131943,F,2010-04-28,59.4032,17.9448,Kista,,SE,10
BRYAN,JOHNSON,131970,M,5/10/09,,,,,,
GLENN,BUSH,132095,M,2010-06-17,65.5842,22.1546,Luleå,Norrbotten,SE,74
DAVID,ROBINSON,132826,M,2010-07-10,51.05,3.7167,Gent Zwijnaarde,Vlaanderen,BE,21
JULIA,CAROLL,134071,F,2010-09-04,53.4433,-1.949,Glossop,England,GB,18
NATHAN,MUDD,136568,M,2010-07-09,51.2,4.4333,Antwerpen Berchem,Vlaanderen,BE,1
JESSICA,ROBINSON,136571,F,10/5/10,,,,,,
JENNIFER,CHAPMAN,136573,F,2010-05-16,51.2167,4.4167,Antwerpen,Vlaanderen,BE,275
HOLLIS,MEZA,136927,M,7/7/11,,,,,,
WILLIAM,AUBRY,136928,M,8/11/11,,,,,,
MICHAEL,OBERG,139420,M,2010-10-06,30.2852,-97.7354,Austin,Texas,US,3
MARIA,SALAMONE,141033,F,2010-05-30,33.6339,-86.5981,Trussville,Alabama,US,16
WILLIAM,SIPES,143222,M,2010-08-13,40.1454,-82.9817,Columbus,Ohio,US,2
MICHELLE,RUSSELL,143223,F,4/16/09,,,,,,
REUBEN,KIEFFER,143226,M,2010-07-23,33.6428,-84.4618,Atlanta,Georgia,US,100
ALICE,ARNOLD,146073,F,2010-06-04,51.2167,4.4167,Antwerpen,Vlaanderen,BE,210
LINDA,SCOTT,148137,F,2010-01-26,59.4032,17.9448,Kista,,SE,6
VIOLET,RIVERA,148138,F,12/9/11,,,,,,
MICHELLE,JEFFRIES,148139,F,4/3/11,,,,,,
CRYSTAL,CALHOON,150376,F,2010-08-06,57.7072,11.9668,Göteborg,,SE,25
SHERRIE,SERAFIN,155937,F,2010-07-09,38.9218,-75.4299,Milford,Delaware,US,2
ALEXANDRA,JACKSON,155938,F,2010-03-26,28.2061,-80.685,Melbourne,Florida,US,25
HAROLD,AUSTIN,155939,M,4/14/10,,,,,,
CHRISTINA,CORDERO,155940,F,2010-04-12,33.8797,-117.5354,Corona,California,US,75
WINFRED,GOODMAN,155941,M,5/3/10,,,,,,
RENATA,CASEY,162428,F,2010-07-31,28.248,-81.2876,Saint Cloud,Florida,US,21
SCOTT,MAR,165582,M,2010-08-23,38.2503,-85.7034,Louisville,Kentucky,US,23
BRET,LAM,165583,M,5/28/10,,,,,,
SHAKIA,WILLIAMS,166003,F,2010-02-08,57.871,11.9805,Kungälv,Västra Götaland,SE,27
THRESA,JOHNSON,170163,F,3/5/09,,,,,,
SUSIE,BASS,170164,F,8/12/11,,,,,,
DENNIS,KLUG,173316,M,2010-08-09,55.6059,13.0007,Malmö,,SE,25
JIMMIE,GARCIA,173317,M,2010-07-19,55.6059,13.0007,Malmö,,SE,8
JOSEPH,RODGERS,173363,M,8/8/10,,,,,,
GABRIEL,GALLOWAY,175031,M,2010-08-11,52.2592,-113.8237,Red Deer Central,Alberta,CA,14
ALLEN,GRASSO,175032,M,2010-08-15,52.2451,-113.7855,Red Deer South,Alberta,CA,3
KEVIN,BLAND,177265,M,2010-06-02,28.6625,-81.4117,Altamonte Springs,Florida,US,25
HAROLD,SMITH,182041,M,2010-06-06,51.2,4.4333,Antwerpen Berchem,Vlaanderen,BE,3
CAROLE,DIXON,182042,F,2/16/10,,,,,,
DOROTHY,SEAY,182753,F,2010-08-22,59.3332,18.0525,Stockholm-globen,,SE,50
LEE,ROGERS,185485,M,7/24/10,,,,,,
DAVID,ALEXANDER,185486,M,12/5/09,,,,,,
MANDY,HODGE,187865,F,2010-08-08,57.7072,11.9668,Göteborg,,SE,6
EFREN,MALONE,191190,M,5/21/10,,,,,,
TODD,YUN,191191,M,2010-08-20,57.7072,11.9668,Göteborg,,SE,3
#,,,,,,,,,,
# id1,id2,weight,common checkins,,,,,,,
26,3737,0.65105835,0,,,,,,,
26,4237,0.181597653,3,,,,,,,
26,4243,0.131657091,2,,,,,,,
26,5072,0.127016557,5,,,,,,,
26,5074,0.821549743,1,,,,,,,
26,5089,0.159691775,0
26,5095,0.755081496,0
26,5117,0.93834993,0
96,3737,0.972074321,0
172,196,0.856078792,0
172,490,0.322299164,42
172,3737,0.780183259,0
172,3800,0.363227114,15
172,4151,0.397503127,24
172,10808,1,0
172,10825,0.639737854,8
174,6323,0.744863399,4
174,8218,0.659789582,0
174,10845,0.618086003,0
174,10850,0.592431391,0
174,10854,0.788201449,0
174,10861,0.502340807,1
181,10854,0.953305042,0
196,253,0.711408145,0
196,6325,0.935156092,0
196,10854,0.816903181,0
253,3737,0.797364565,0
253,4026,0.668532347,1
253,5074,0.776561322,0
253,22414,0.688378475,1
393,6323,0.755006869,3
393,10854,0.816903181,0
490,3737,0.595873501,0
490,3993,0.223206812,23
490,4151,0.166468673,39
490,9281,0.588430189,0
490,12069,0.46216982,1
490,31788,0.708652098,2
490,31793,0.65274532,0
677,1105,0.326128608,8
677,1693,0.75992581,7
677,5927,0.346654241,4
677,6832,0.486840028,0
677,16057,0.147529468,2
677,16569,0.197935886,6
677,27663,0.717998764,0
677,28587,0.092138971,37
677,30059,0.288403643,0
677,39296,0.732682708,0
677,39299,0.863864266,0
677,39305,0.697560765,5
677,39307,0.500748374,4
677,39308,0.64806831,0
677,39310,0.92080119,0
677,39311,0.296315343,6
677,39312,0.508177749,0
677,39315,0.366004471,2
677,39320,0.604357476,8
677,39321,0.638345875,0
677,39324,0.467882376,5
677,39325,0.251230419,0
796,6994,0.859099815,4
796,40857,1,0
796,40858,0.065703253,46
796,40859,1,0
796,40860,1,0
796,40861,0.742753327,0
796,40862,1,0
796,40863,1,0
796,40864,1,0
796,40865,0.968365011,1
796,40866,0.714079906,0
1105,5927,0.26359172,7
1105,16057,0.233557989,4
1105,16569,0.191022326,23
1105,20147,0.472525373,13
1105,38458,0.265190635,2
1105,39307,0.083175674,25
1105,39311,0.001238039,90
1105,39315,0.081045187,2
1105,39324,0.242670447,9
1105,44621,0.302678177,0
1105,44622,0.61543572,0
1105,44625,0.188316565,7
1645,14626,0.728008928,3
1693,16569,0.829717528,2
1693,28587,0.851844872,0
1838,16569,1,0
2016,16569,1,0
2020,16569,0.926602866,0
2644,33268,0.195545463,0
2644,65131,0.06889054,0
2644,65132,0.445400569,0
2721,37731,1,0
2790,25403,0.647107154,2
2790,29030,0.537883107,0
2790,42494,0.198327687,1
2790,65601,0.041830024,0
2960,25439,0.92080119,0
3167,12591,0.143516044,1
3167,33675,0.120728394,0
3167,40865,1,0
3167,41728,0.175182813,1
3167,47299,0.559401967,0
3167,47314,0.158775944,1
3167,63163,0.392957371,0
3658,3737,1,0
3684,7651,0.92766285,0
3684,63566,0.155938701,5
3737,3800,1,0
3737,3832,1,0
3737,3993,1,0
3737,4026,1,0
3737,4151,1,0
3737,4180,1,0
3737,4236,1,0
3737,4237,1,0
3737,4243,1,0
3737,4389,1,0
3737,4716,1,0
3737,5072,1,0
3737,5074,1,0
3737,5089,1,0
3737,5095,1,0
3737,5117,1,0
3737,5145,1,0
3737,5475,1,0
3737,5783,1,0
3737,6385,1,0
3737,6404,1,0
3737,6480,1,0
3737,6526,1,0
3737,6588,1,0
3737,7290,1,0
3737,7309,1,0
3737,8599,1,0
3737,9281,1,0
3737,10364,1,0
3737,10825,1,0
3737,12069,1,0
3737,13471,1,0
3737,16640,1,0
3737,22414,1,0
3737,22640,1,0
3737,23208,1,0
3737,23253,1,0
3737,23452,1,0
3737,24098,1,0
3737,24650,1,0
3737,25588,1,0
3737,30022,1,0
3737,31210,1,0
3737,31788,1,0
3737,31793,1,0
3737,34639,1,0
3737,42948,1,0
3737,43334,1,0
3737,68811,1,0
3737,68812,1,0
3737,68813,1,0
3737,68814,1,0
3737,68815,1,0
3737,68816,1,0
3737,68817,1,0
3737,68818,1,0
3737,68819,1,0
3737,68820,1,0
3737,68821,1,0
3737,68822,1,0
3737,68823,1,0
3737,68824,1,0
3737,68825,1,0
3737,68826,1,0
3800,3993,0.48108258,1
3800,9281,0.514387578,0
3832,5783,0.776561322,0
3993,4151,0.182576914,20
3993,10845,1,0
3993,12069,0.519791324,0
3993,22414,0.880097755,0
3993,23452,0.884242251,0
4026,22414,0.8581069,0
4033,7651,0.751102537,0
4033,7833,0.537883107,0
4115,5927,0.680387243,1
4115,6832,0.547527805,0
4115,7768,0.763594209,0
4115,16057,0.647056687,1
4115,16569,0.521549813,5
4115,23409,0.706733084,1
4115,28587,0.688161709,0
4115,38458,0.537883107,0
4115,39325,0.587519844,0
4115,42021,0.963783986,0
4151,9281,0.579155661,0
4151,12069,0.382539974,6
4237,4243,0.114117944,3
4237,5072,0.186193587,8
4237,5089,0.068514131,7
4237,13471,0.179065719,3
4237,24650,0.833497648,0
4243,5072,0.109791455,5
4243,5089,0.046955761,3
4243,6385,0.160363368,1
4243,13471,0.116832215,4
4389,34639,0.91250506,0
4409,10854,0.898311944,0
4496,25430,0.601649765,0
4496,60146,0.922033611,0
4671,30326,1,0
5072,5089,0.156346655,8
5072,6385,0.125628342,0
5072,13471,0.291587864,3
5074,22414,0.46295072,0
5089,13471,0.094851929,0
5095,68815,1,0
5145,7290,0.00688165,25
5475,10364,1,0
5475,68826,1,0
5729,16569,1,0
5729,35357,0.970596733,0
5783,6480,0.461019683,1
5783,10364,0.678487464,0
5783,25588,0.574372053,0
5783,68814,0.788201449,0
5920,7651,0.824834231,0
5920,77180,1,0
5927,6486,0.721814687,0
5927,6832,0.565755326,0
5927,16057,0.265071375,2
5927,16569,0.126233671,11
5927,30059,0.574372053,0
5927,30391,0.708687572,0
5927,39296,0.593814764,0
5927,39308,0.651587202,0
5927,39311,0.245239145,12
5927,39312,0.560429919,0
5927,39315,0.537883107,0
5927,39321,0.476042802,2
5927,44621,0.553140809,0
5927,44622,0.593814764,0
5927,44625,0.495327881,0
5927,46331,0.810028538,0
5927,63511,0.806396503,0
5927,73193,0.560429919,0
5927,77202,0.898311944,0
5961,10854,0.856761194,0
6220,7158,1,0
6323,10854,0.724303373,0
6323,21986,0.224300283,0
6325,10854,1,0
6385,6404,0.165219417,0
6404,24650,0.185702903,4
6404,30022,0.79252992,0
6404,68824,0.888110982,0
6480,10364,0.424480414,0
6480,25588,0.412292396,0
6480,68826,0.668219779,0
6486,10825,1,0
6486,16057,1,0
6486,16569,1,0
6486,27663,1,0
6526,68811,1,0
6588,23452,0.321631011,0
6832,16569,1,0
6832,28587,1,0
6832,30059,1,0
6832,38458,1,0
6832,39307,1,0
6832,39320,1,0
6832,39324,1,0
6832,46331,1,0
6832,63511,1,0
6832,73193,1,0
6992,7651,1,0
7059,20057,0.872492786,0
7059,35626,0.525808796,0
7059,59291,0.283702425,0
7059,68410,0.578563151,4
7059,69137,0.814666922,0
7158,8353,0.790387681,0
7158,9182,0.641642822,1
7158,10580,0.86568158,0
7158,11729,0.512851099,1
7158,17741,0.793108913,1
7158,21050,0.6482181,1
7158,25397,0.742753327,0
7158,25425,0.412412862,1
7158,25437,0.683924303,2
7158,25941,0.645684589,0
7158,34519,1,0
7158,40798,1,0
7158,45823,0.776561322,0
7158,52288,0.649640577,0
7158,58076,0.317738509,0
7158,58077,0.582678597,0
7158,60146,0.421385807,0
7158,65266,0.889343963,0
7158,67713,0.914006081,0
7158,72300,0.708687572,0
7158,79598,0.736123865,0
7158,80936,0.86568158,0
7158,80937,0.574372053,0
7158,80938,0.762677094,0
7158,80939,1,0
7158,80940,0.751102537,0
7158,80941,0.776561322,0
7158,80942,0.875647081,0
7181,16569,1,0
7309,34639,0.688161709,0
7430,7651,0.616599461,0
7430,7722,0.719919345,0
7430,7768,0.740579916,0
7430,7833,0.768077486,0
7430,12004,0.800684086,0
7459,7651,0.878649843,0
7556,7651,0.474916341,0
7556,7722,0.262742709,0
7556,7833,0.414539304,0
7556,8743,0.846191737,0
7556,12004,0.517440443,0
7633,16569,1,0
7651,7722,0.598419725,0
7651,7768,0.520459251,0
7651,7833,0.30032371,0
7651,8743,0.745055121,1
7651,9886,1,0
7651,10470,0.82732896,0
7651,11483,0.919529268,0
7651,12004,0.645684589,0
7651,22821,0.910950851,0
7651,25437,0.884242251,0
7651,28602,0.886850336,0
7651,29853,0.904141458,0
7651,46203,1,0
7651,59982,0.693861621,2
7651,63566,0.875647081,0
7722,7833,0.59993314,0
7722,12004,0.440446119,0
7768,7833,0.640471908,0
7833,8743,0.666090437,0
7833,28602,0.782921493,0
7833,59982,0.869175261,0
8126,16569,1,0
8209,9523,1,0
8209,10580,1,0
8209,10861,1,0
8209,21986,1,0
8209,22821,1,0
8209,25402,1,0
8209,25425,1,0
8209,28977,1,0
8209,83482,1,0
8218,10850,0.005064723,18
8218,10861,0.216043396,2
8218,11316,0.499136347,0
8218,25403,0.443628024,1
8218,25430,0.473286994,0
8218,25456,0.578563151,0
8218,60146,0.79252992,0
8353,9182,1,0
8353,11316,1,0
8353,11719,1,0
8353,21050,1,0
8353,27939,1,0
8353,47314,1,0
8353,54079,1,0
8353,72300,1,0
8353,83482,1,0
8353,83867,1,0
8353,83872,1,0
8743,11483,0.602928228,0
8810,33124,0.781111964,1
8810,37731,0.574372053,0
8810,67788,0.645684589,0
9182,21050,0.375891543,0
9182,27939,0.544353763,0
9182,54079,0.745947591,0
9182,58076,0.826339555,0
9182,72300,0.263221539,0
9182,83482,0.495327881,0
9182,83867,0.574372053,0
9182,83872,0.513156789,0
9253,27939,1,0
9523,10850,0.386643039,0
9523,11719,0.517440443,0
9523,60146,0.779786531,0
9939,60146,1,0
10321,55798,0.626179498,1
10321,88361,0.06889054,0
10321,88363,0.471375059,0
10580,28977,0.785969877,0
10808,10861,0.794629458,0
10808,25403,0.832113165,0
10845,10850,0.257979729,2
10845,10861,0.038548659,2
10845,11316,0.146245605,0
10845,11719,0.192191594,0
10845,25402,0.208854807,4
10845,25403,0.256002333,1
10845,25419,0.029992374,2
10845,27939,0.620051268,0
10845,46997,0.71928198,0
10845,54079,0.622770851,0
10845,72296,0.399170696,0
10845,73104,0.537637224,2
10850,10861,0.111699714,4
10850,11316,0.281947034,0
10850,11719,0.238406127,0
10850,17741,0.794629458,0
10850,21050,0.738370389,1
10850,25419,0.274820609,2
10850,25425,0.643269989,1
10850,25430,0.412292396,0
10850,25465,0.294446574,9
10850,60146,0.532203332,0
10854,26656,1,0
10854,31551,1,0
10854,56341,1,0
10854,62941,0.891730477,0
10854,78318,1,0
10854,89257,1,0
10854,89258,1,0
10854,89259,1,0
10861,11316,0.244843163,0
10861,11719,0.128499639,0
10861,25403,0.10301966,4
10861,25419,0.021973951,2
10861,25456,0.195545463,0
11216,37731,0.692791469,0
11216,67788,0.574372053,0
11216,90582,0.754948655,2
11316,11719,1,0
11316,17741,1,0
11316,25402,1,0
11316,25403,1,0
11316,25419,1,0
11316,25430,1,0
11316,46997,1,0
11316,54065,1,0
11316,54079,1,0
11316,72296,1,0
11719,21050,0.707585386,0
11719,22124,0.487556847,0
11719,25402,0.365151538,1
11719,25403,0.226327967,0
11719,25419,0.10862673,0
11719,25456,0.309424002,0
11719,91572,0.785969877,0
11729,25397,0.810028538,0
11729,25425,0.411299357,0
11729,58077,0.714079906,0
12069,33124,0.605881669,0
12127,19019,0.144694586,7
12127,39378,0.436260814,0
12127,92592,0.195545463,0
12127,92593,0.574372053,0
12127,92594,0.06889054,0
12127,92596,0.10862673,0
12127,92597,0.195545463,0
12591,33675,0.120728394,0
12591,41728,0.144984984,0
12591,47299,0.559401967,0
12591,47314,0.155000315,1
12591,63163,0.326095933,1
13288,83867,1,0
13288,91572,0.829274667,0
14604,77180,1,0
14626,97971,1,0
14626,97972,1,0
14626,97973,0.633291284,0
14626,97974,1,0
14626,97975,0.495327881,0
14664,98074,1,0
14878,16569,0.249678636,42
14878,20147,0.401866907,19
14878,21594,0.574372053,0
14878,38329,1,0
14878,39307,0.48526897,27
14878,39324,0.76566815,13
14878,43932,0.939831842,0
14878,44622,0.840094014,0
14878,46331,0.776561322,0
14878,62715,0.898311944,0
14878,98688,1,0
14878,98689,1,0
14878,98690,1,0
14878,98691,0.643845769,5
14878,98692,1,0
14878,98693,0.111783587,44
15668,27939,1,0
15718,68823,1,0
15718,98074,1,0
16057,16569,0.191276325,5
16057,27663,0.705916886,0
16057,30059,0.457206312,0
16057,34961,0.519782828,1
16057,38458,0.344025967,0
16057,39296,0.585381104,0
16057,39305,0.710985288,1
16057,39308,0.431596725,0
16057,39311,0.227649822,5
16057,39312,0.424480414,0
16057,39315,0.284129814,1
16057,39321,0.622770851,0
16057,39324,0.267996351,4
16057,39325,0.231921717,0
16057,44625,0.348678997,2
16057,45687,0.286216331,5
16057,73192,0.595873501,0
16057,101307,0.847356341,0
16569,20301,0.931613802,0
16569,23409,0.554631469,4
16569,27663,0.752109081,0
16569,28587,0.449242064,0
16569,29021,1,0
16569,30059,0.476321425,0
16569,30391,0.771465495,1
16569,30959,0.916163691,0
16569,34961,0.693701557,0
16569,35358,0.94054643,0
16569,38458,0.419875622,0
16569,38461,0.96876019,1
16569,39296,0.47957482,0
16569,39299,0.94054643,0
16569,39305,0.748378947,2
16569,39307,0.198100318,20
16569,39308,0.752109081,0
16569,39310,0.931613802,0
16569,39311,0.158262332,40
16569,39312,0.506603248,0
16569,39315,0.318804056,2
16569,39320,0.72664446,1
16569,39321,0.653906844,1
16569,39325,0.495327881,0
16569,40395,1,0
16569,44621,0.620051268,0
16569,44622,0.645684589,0
16569,44625,0.249967715,12
16569,45687,0.527153897,6
16569,46331,0.802624809,0
16569,50082,0.872492786,0
16569,55164,1,0
16569,63511,0.800028788,0
16569,67895,0.935156092,0
16569,73192,0.653513331,0
16569,73193,0.686271961,0
16569,73195,0.619672442,7
16569,77202,0.931613802,0
16569,98691,0.801886569,5
16569,98693,0.596504021,12
16569,102372,1,0
16569,102373,0.933431968,0
16569,102374,1,0
16569,102375,1,0
16569,102376,1,0
16569,102377,1,0
16963,87915,0.359221675,0
16963,88927,0.290562123,3
16963,103496,0.587397683,4
17124,25403,1,0
17741,80941,0.56281147,0
18546,35626,0.878649843,0
18546,47299,0.766304334,0
18546,68410,0.46295072,0
18546,106956,0.353518367,0
18546,106957,0.697290462,0
19019,92592,0.013385747,0
19019,92594,0.035972515,0
19019,92596,0.088138686,0
19019,92597,0.013385747,0
20057,59291,1,0
20057,66961,1,0
20057,68410,1,0
20147,23409,0.519591437,3
20147,39324,0.745622069,5
20569,23692,0.164576361,4
20569,55798,0.666090437,0
20569,77061,0.537883107,0
21050,25402,0.721814687,0
21050,26458,0.851844872,0
21050,27939,0.303257814,1
21050,46997,0.8581069,0
21050,54079,0.75798496,0
21050,60146,0.791820648,0
21050,69371,0.574372053,0
21050,72300,0.202790559,0
21050,72609,0.729153055,0
21050,83482,0.325921242,0
21050,83867,0.325921242,0
21050,83872,0.545628218,0
21050,112003,0.542215203,2
21050,112004,0.331330482,1
21050,112009,0.63279821,1
21594,98693,1,0
21594,101307,1,0
21594,112880,1,0
21986,23869,0.833038673,0
22124,25403,0.677221614,1
22222,23869,1,0
22756,25403,1,0
22821,28977,1,0
22821,54079,1,0
22821,59982,1,0
23208,68815,0.840094014,0
23409,30059,0.902273754,0
23409,39296,0.760821792,0
23409,50082,0.714079906,0
23409,73192,0.771545757,0
23692,55798,0.592955294,4
23692,77061,0.574372053,0
23822,55798,1,0
23869,24277,1,0
23869,25437,1,0
23869,25439,1,0
23869,29453,1,0
23869,30708,1,0
23869,36378,1,0
23869,51567,1,0
23869,51572,1,0
23869,52708,1,0
23869,115662,1,0
25402,25419,0.348259171,2
25402,26458,0.353518367,0
25402,27939,0.296094693,0
25402,72296,0.041830024,10
25403,25419,0.210727246,1
25403,25426,0.691020973,2
25403,25430,0.56132578,0
25403,25437,0.633291284,0
25403,25439,0.688161709,0
25403,25456,0.158463899,0
25403,29030,0.644055548,1
25403,33526,0.813528432,0
25403,37819,0.900332072,0
25403,42494,0.611666758,0
25403,42671,0.73222008,1
25403,42714,0.742753327,0
25403,54065,0.697290462,0
25403,54079,0.588149616,1
25403,61089,0.798705366,0
25403,65601,0.691263012,0
25403,65804,1,0
25403,72073,0.636232231,1
25403,73104,0.55431516,1
25403,91572,0.802624809,0
25403,98440,0.891730477,0
25403,117861,0.834859696,1
25419,25456,0.227846081,0
25419,26458,0.649640577,0
25419,33526,0.8581069,0
25425,25439,0.760821792,0
25425,58076,0.550661882,0
25425,58077,0.417217351,0
25425,60146,0.547527805,0
25426,25430,0.842589729,0
25430,25465,1,0
25430,25467,1,0
25430,60146,1,0
25430,72073,1,0
25437,25439,0.445400569,0
25437,27939,0.247586785,2
25437,60146,0.86568158,0
25437,83482,0.46295072,0
25437,83867,0.46295072,0
25437,112003,0.213982884,3
25439,28977,1,0
25439,30892,1,0
25439,31019,1,0
25439,34342,1,0
25439,49769,1,0
25439,85046,1,0
25456,37819,1,0
25456,42494,1,0
25456,42714,1,0
25456,73104,1,0
25465,25467,0.628975927,0
25465,60146,0.729153055,0
25467,27939,1,0
25467,35031,1,0
25467,65266,1,0
25588,31210,1,0
25756,55798,0.875647081,0
25756,70914,0.802624809,0
25941,58076,1,0
25941,80937,1,0
25941,80938,1,0
25941,80940,1,0
26285,51670,1,0
26458,27939,1,0
26458,72296,1,0
27655,29473,0.166702736,1
27655,49865,0.246573713,6
27655,51611,0.238406127,0
27655,98074,0.407300165,0
27663,28587,1,0
27939,72296,0.255037972,0
27939,72300,0.214104565,0
27939,83482,0.119203465,0
